main_url,main_ip,connect_url,connect_ip,keywords,banner_count
www.mango20.net,104.21.3.87,wb-tt.com,18.178.147.215,코드+카지노+스포츠+라이브+전용+고액+상한+호텔+국내+놀이터+해외+배당+안전+메이저+천만+국내배당+천만원고액전용+스포츠상한+해외+이브+이터,14
protoon51.com,104.21.0.236,sun-4353.com,18.178.147.215,카지노+스포츠+라이브+호텔+이벤트+게임+쿠폰+가지+호텔카지노+각종+포인트+이브+슬롯+CASINO,22
protoon51.com,104.21.0.236,aone-45.com,172.67.209.59,코드+가입+스포츠+게임+미니+제재+미니게임+무제+오버+핸디캡+루틴+각종,22
www.mango20.net,104.21.3.87,newmcj.com,104.21.66.151,가입+매일,14
protoon51.com,104.21.0.236,an-29.com,104.21.47.4,코드+가입+카지노+이벤트+진행+가지+자동+크로스,22
www.mango20.net,104.21.3.87,dhlok.com,14.128.149.210,가입+머니+가입머니,14
protoon51.com,104.21.0.236,soul-88.com,182.23.208.138,카지노+라이브+호텔+게임+지급+미니+미니게임+매일+정식+이브+슬롯,22
www.mango20.net,104.21.3.87,sb1-5.com,103.96.3.76,코드+가입+가입코드+게임+다양+단폴+파워볼+크로스+BET,14
protoon51.com,104.21.0.236,www.trust-toto.com,104.21.26.144,코드+카지노+배당+매충+최고+실시간+시간+업계,22
www.mango20.net,104.21.3.87,il119.com,13.56.205.103,가입+가지+보기+회원,14
protoon51.com,104.21.0.236,po-kk.com,111.92.247.222,코드+가입+가입코드,22
www.mango20.net,104.21.3.87,cafe.naver.com,210.89.168.34,스포츠+국내+해외+사이트+정보+해외+분석+전문,14
xn--om2bk9fm4f1uf.com,104.18.22.64,None,None,None,0
protoon51.com,104.21.0.236,www.ssr777.com,104.21.91.85,업체+지급+정식+입금+라이센스+CASINO,22
protoon51.com,104.21.0.236,pandora-club.com,104.21.34.97,스포츠+라이브+지급+머니+제휴+파워볼+중계+이브,22
protoon51.com,104.21.0.236,truemoa3.com,172.67.196.187,먹튀+렌트+토렌트+웹툰+업소,22
bam100co.com,172.67.155.207,None,None,None,0
bam85co.com,172.67.201.168,None,None,None,0
bam89co.com,104.21.68.189,None,None,None,0
bam107co.com,172.67.173.89,None,None,None,0
bam92co.com,172.67.199.107,None,None,None,0
bam105co.com,172.67.215.19,None,None,None,0
bam87co.com,104.21.9.190,None,None,None,0
bam86co.com,172.67.147.43,None,None,None,0
bam104co.com,104.21.82.113,None,None,None,0
bam103co.com,104.21.40.177,None,None,None,0
bam102co.com,104.21.93.217,None,None,None,0
bam108co.com,172.67.156.59,None,None,None,0
bam84co.com,172.67.174.220,None,None,None,0
protoon51.com,104.21.0.236,www.mango20.net,104.21.3.87,사이트+총집합+야동,22
bam93co.com,104.21.26.131,None,None,None,0
bam91co.com,172.67.146.239,None,None,None,0
bam94co.com,104.21.85.169,None,None,None,0
bam88co.com,104.21.8.198,None,None,None,0
protoon51.com,104.21.0.236,uuzoa16.com,104.21.72.186,사이트+업계+업소,22
bam96co.com,104.21.67.36,None,None,None,0
protoon51.com,104.21.0.236,webtoon.forward-links.com,172.67.182.91,무료+웹툰,22
bam97co.com,104.21.2.160,None,None,None,0
protoon51.com,104.21.0.236,mana.forward-links2.com,104.21.87.173,무료,22
protoon51.com,104.21.0.236,tv.forward-links.com,172.67.182.91,무료+티비,22
protoon51.com,104.21.0.236,ani.forward-links.com,172.67.182.91,무료+애니,22
bam98co.com,104.21.10.177,None,None,None,0
sb1-5.com,103.96.3.76,None,None,None,0
bam99co.com,104.21.78.26,None,None,None,0
bis7733.com,172.67.150.64,None,None,None,0
www.curekr.com,104.21.22.141,None,None,None,0
bet365kor4.com,172.67.27.53,None,None,None,0
blacktoon.net,172.67.171.151,None,None,None,0
www.lover-date.com,104.26.9.72,None,None,None,0
blacktoon106.com,104.21.19.122,None,None,None,0
bo-zi19.net,104.21.79.15,None,None,None,0
beetorrent7.space,104.21.58.158,None,None,None,0
bubbletorrent6.space,104.21.64.105,None,None,None,0
bubbletorrent7.space,104.21.78.206,None,None,None,0
buzztoon91.com,172.67.219.37,None,None,None,0
buzztoon93.com,104.21.60.35,None,None,None,0
channel.beetip.com,49.234.103.154,None,None,None,0
chunzagirl.net,209.126.123.13,None,None,None,0
daftsex.com,104.21.88.111,None,None,None,0
ww38.bugstoon.info,13.248.148.254,None,None,None,0
enaver.net,172.67.137.91,None,None,None,0
e-hentai.org,104.20.135.21,None,None,None,0
fjav.net,37.48.65.148,None,None,None,0
freetoon02.com,37.48.65.152,None,None,None,0
fxfx36.com,104.21.71.38,None,None,None,0
fxfx45.com,172.67.217.72,None,None,None,0
fxfx42.com,104.21.62.18,None,None,None,0
fxfx53.com,104.21.57.71,None,None,None,0
fxfx49.com,104.21.79.143,None,None,None,0
fxfx50.com,104.21.22.173,None,None,None,0
fxfx35.com,104.21.17.62,None,None,None,0
fxfx38.com,172.67.147.145,None,None,None,0
fxfx51.com,172.67.205.23,None,None,None,0
fxfx37.com,172.67.187.222,None,None,None,0
fxfx44.com,172.67.154.15,None,None,None,0
fungky1.com,185.107.56.53,None,None,None,0
fxfx43.com,172.67.221.249,None,None,None,0
fxfx39.com,104.21.81.144,None,None,None,0
fxfx41.com,172.67.199.94,None,None,None,0
fxfx47.com,104.21.81.159,None,None,None,0
fxfx40.com,172.67.184.46,None,None,None,0
www.tumblr.com,192.0.77.40,None,None,None,0
fxfx48.com,172.67.157.37,None,None,None,0
fxfx52.com,172.67.148.7,None,None,None,0
fxfx54.com,104.21.23.161,None,None,None,0
fxfx55.com,172.67.73.80,None,None,None,0
fxfx56.com,104.26.12.112,None,None,None,0
fxfx46.com,172.67.179.211,None,None,None,0
golbengi.com,78.41.204.38,None,None,None,0
gochu01.club,185.53.178.11,None,None,None,0
hiyobi.me,172.67.167.209,None,None,None,0
hodu103.net,104.21.18.157,None,None,None,0
hodu102.net,172.67.221.23,None,None,None,0
hodu99.net,172.67.169.47,None,None,None,0
hotscope.tv,217.182.196.103,None,None,None,0
imax05.com,91.195.240.117,None,None,None,0
hqporner.com,88.208.35.41,None,None,None,0
joge08.com,172.67.146.131,None,None,None,0
joybam.club,91.195.240.13,None,None,None,0
joymaxim.com,172.67.175.48,None,None,None,0
ktoon57.com,172.67.152.166,None,None,None,0
ktoon58.com,104.21.80.252,None,None,None,0
ktoon55.com,172.67.160.11,None,None,None,0
ktoon56.com,172.67.205.226,None,None,None,0
ktoon53.com,104.21.13.68,None,None,None,0
ktoon61.com,172.67.152.235,None,None,None,0
ktoon59.com,172.67.203.1,None,None,None,0
bbjjoonnee.onlyvip.net,104.21.2.233,None,None,None,0
mingkyyy.com,104.21.28.10,,::1,전용+게임,2
moeni.org,172.67.138.116,wb-tt.com,18.178.147.215,코드+카지노+스포츠+라이브+전용+고액+상한+호텔+국내+돌발+놀이터+해외+배당+안전+메이저+천만+국내배당+돌발+천만원고액전용+스포츠상한+매출+해외+놀이터코드+이브+이터+BET+SPORT,2
moeni.org,172.67.138.116,ten-1056.com,18.178.212.159,코드+가입+카지노+스포츠+라이브+전용+고액+상한+호텔+돌발+가입코드+매충+돌발+포커+노리+인플레이+스포츠상한+유럽식+유럽식스포츠+라이브포커+호텔카지노+고액전용노리터+이브+BET,2
nambam12.com,104.21.41.131,yahun05.com,104.21.0.173,야동,1
no-bra.net,104.21.13.136,None,None,None,0
no1.nobra.xyz,104.21.79.16,None,None,None,0
odalmay.com,172.67.204.69,uskooo.com,184.168.131.241,CASINO+BET,8
