main_url,main_ip,connect_url,connect_ip,keywords,banner_count
http://1004x.1004tsts.com,103.1.250.175,None,None,None,0
http://11.xn--he5b93brek8q.com,211.234.116.182,None,None,None,0
http://1004ses.com,104.21.73.111,None,None,None,0
http://1004cube.com,172.67.222.24,None,None,None,0
http://1004vvt.com,52.197.21.169,None,None,None,0
https://afreecatv.com,123.111.232.42,None,None,None,0
http://bamsarang1.me,172.67.189.32,None,None,None,0
http://69bam3.me,104.21.3.163,None,None,None,0
http://bame.co.kr,106.249.25.84,None,None,None,0
http://69bam2.me,104.21.93.168,None,None,None,0
http://bbga1.com,172.67.131.133,None,None,None,0
http://marlboro3.live,165.160.15.20,None,None,None,0
http://gmtv3.com,104.21.77.162,None,None,None,0
http://ww7.19bam09.com,199.59.242.153,None,None,None,0
http://fr-71.com,172.67.186.181,None,None,None,0
http://ming-ky.net,104.21.72.233,None,None,None,0
http://goza1.com,172.67.185.142,None,None,None,0
http://moatv01.com,172.67.162.85,None,None,None,0
http://dojun1.com,172.67.128.21,None,None,None,0
http://aone18.com,67.43.227.84,None,None,None,0
http://itoons01.com,172.67.191.160,None,None,None,0
https://www.smdozen1.top,192.74.230.102,None,None,None,0
http://frz11.com,104.21.14.244,None,None,None,0
http://www.warning.or.kr,121.189.57.82,None,None,None,0
http://namedtoon58.com,104.26.15.51,None,None,None,0
http://nb-rd.com,107.154.77.88,None,None,None,0
http://nb-fo.com,172.67.174.92,None,None,None,0
http://nb-we.com,107.154.131.52,None,None,None,0
http://play.sbs.co.kr,54.192.70.32,None,None,None,0
http://opgram22.com,18.180.136.134,None,None,None,0
http://soul-88.com,182.23.208.138,None,None,None,0
http://tsgirl.net,172.67.154.37,None,None,None,0
http://partner.rosetv.co.kr,220.73.161.31,None,None,None,0
http://sexbam11.me,172.67.193.141,None,None,None,0
http://www.1004mam.com,172.67.160.120,None,None,None,0
http://sns-x5.com,172.67.216.158,None,None,None,0
http://www.kongdda1.net,104.21.93.5,None,None,None,0
http://www.gaogaoxing.com,203.245.24.16,None,None,None,0
http://www.bo-zi21.net,172.67.213.85,None,None,None,0
http://www.cast-aa.com,18.180.7.120,None,None,None,0
http://www.dojun1.com,104.21.0.145,None,None,None,0
http://ww1.sinktv.com,91.195.240.136,None,None,None,0
https://www.mintelly.com,172.217.26.51,None,None,None,0
http://www.torrentreel70.com,101.32.207.110,None,None,None,0
http://youjamak.com,203.245.24.26,None,None,None,0
http://yug-no.com,52.69.251.36,None,None,None,0
http://xn--qh3bx4o.net,104.21.6.109,None,None,None,0
http://www.xn--pq1bj6fu7a45dt3r.com,112.175.50.163,None,None,None,0
https://99zzz.net,104.21.83.50,None,None,None,0
http://zess1.com,104.21.79.165,None,None,None,0
https://adulti148.com,198.54.117.244,None,None,None,0
https://aqstream.com,172.67.136.225,None,None,None,0
https://amd79.com,172.67.169.218,None,None,None,0
https://bam107co.com,104.21.80.27,None,None,None,0
https://bam105co.com,172.67.215.19,None,None,None,0
https://bam102co.com,172.67.215.80,None,None,None,0
https://bam100co.com,172.67.155.207,None,None,None,0
https://blacktoon.net,172.67.171.151,None,None,None,0
https://blacktoon106.com,104.21.19.157,None,None,None,0
https://bam104co.com,172.67.201.60,None,None,None,0
https://bam99co.com,172.67.215.28,None,None,None,0
https://bam96co.com,172.67.211.218,None,None,None,0
https://bam103co.com,104.21.40.177,None,None,None,0
https://bam97co.com,172.67.129.95,None,None,None,0
https://bam98co.com,172.67.146.40,None,None,None,0
https://bam108co.com,104.21.74.72,None,None,None,0
https://channel.beetip.com,49.234.103.154,None,None,None,0
https://ddal-5.com,162.210.196.166,None,None,None,0
https://danbi07.com,192.157.56.140,None,None,None,0
https://fxfx49.com,172.67.146.69,None,None,None,0
https://fxfx48.com,172.67.157.37,None,None,None,0
https://fxfx52.com,172.67.148.7,None,None,None,0
https://fxfx53.com,104.21.57.71,None,None,None,0
https://fxfx54.com,172.67.212.81,None,None,None,0
https://fxfx50.com,172.67.205.245,None,None,None,0
https://fungky1.com,96.47.230.68,None,None,None,0
https://fxfx51.com,104.21.22.134,None,None,None,0
https://fxfx46.com,104.21.48.60,None,None,None,0
https://fxfx56.com,172.67.68.172,None,None,None,0
https://fxfx45.com,172.67.217.72,None,None,None,0
https://fxfx47.com,104.21.81.159,None,None,None,0
https://fxfx55.com,104.26.6.15,None,None,None,0
http://ww16.hbtoon.com,91.195.240.46,None,None,None,0
https://hodu99.net,172.67.169.47,None,None,None,0
https://itoons01.com,104.21.57.191,None,None,None,0
https://iftoon.com,78.41.204.33,None,None,None,0
https://joybam.club,91.195.240.13,None,None,None,0
https://joge08.com,172.67.146.131,None,None,None,0
