main_url,main_ip,connect_url,connect_ip,keywords,banner_count
https://ntoon59.com,104.21.31.203,None,None,None,0
https://opanapa7.com,104.21.40.207,http://ani.forward-links.com,104.21.32.29,무료+애니,27
https://opanapa7.com,104.21.40.207,https://xn--bb0bw4mv4ddwc5wkn3lzkr.com,104.21.74.252,코드+카지노+스포츠+배당+사이트+배팅+최고+인증+제한+공식,27
https://opanapa7.com,104.21.40.207,http://xn--o79a711bszdtua70d.com,104.21.7.176,코드+카지노+스포츠+배당+게임+최고+공식+무한,27
https://opanapa7.com,104.21.40.207,https://홀짝주소.com,104.21.15.79,전용+배팅+무제+제한+무제한+파워볼,27
https://opanapa7.com,104.21.40.207,https://viande3616.wixsite.com,34.80.190.141,코드+가입+스포츠+가입코드+이벤트+매충+배팅+실시간+시간,27
https://opanapa7.com,104.21.40.207,http://modo11.com,54.248.67.96,코드+카지노+스포츠+실시간+제재+시간+모든,27
https://opanapa7.com,104.21.40.207,https://dhlok.com,14.128.149.210,코드+가입+매일+무한,27
https://opanapa7.com,104.21.40.207,http://aone-45.com,104.21.23.57,코드+가입+스포츠+게임+미니+제재+미니게임+무제+오버+핸디캡+루틴+각종,27
https://opanapa7.com,104.21.40.207,http://b-time113.com,107.154.77.30,코드+베팅,27
https://opanapa7.com,104.21.40.207,http://www.trust-toto.com,104.21.26.144,코드+카지노+배당+매충+최고+실시간+시간+업계,27
https://opanapa7.com,104.21.40.207,http://ygd45.com,104.21.55.139,신규,27
https://pornxs.com,66.254.114.120,None,None,None,0
https://opanapa7.com,104.21.40.207,https://bulgogi1.com,104.21.14.67,사이트+성인+주소+보기+렌트+모음+토렌트+웹툰+총집합,27
https://popjav.tv,172.67.153.96,None,None,None,0
https://opanapa7.com,104.21.40.207,https://mexppp.com,104.21.55.83,코드+가입+스포츠+상한+업체+게임+매충+사이트+미니+환전+미니게임+무제+검증+제한+무제한+전무+상한가+완료+전문,27
https://opanapa7.com,104.21.40.207,https://jusomoya2.com,172.67.149.3,사이트+링크+성인+먹튀+주소+보기+렌트+모음+토렌트+웹툰+총집합+야동+업소,27
https://opanapa7.com,104.21.40.207,https://seda9.bet,104.21.10.96,가입+스포츠+국내+경기+실시간+시간+토토+시스템+BET,27
https://pumjaral04.com,104.21.39.8,None,None,None,0
https://pumjaral06.com,104.21.6.82,None,None,None,0
https://opanapa7.com,104.21.40.207,http://36-78.com,172.67.209.152,이벤트+게임+최대+머니+매일+쿠폰+그램+무료+텔레그램,27
https://opanapa7.com,104.21.40.207,https://www.mango20.net,104.21.3.87,사이트+총집합+야동,27
